-6.8|-5.1|13.8|3.78|3.78|3.78|3.78|3.78|3.78|22.68|40.016| -105.268|1602|
-6.8|-5.1|13.8|3.78|3.78|3.78|3.78|3.78|3.78|22.68|40.017| -105.266|1604|
-6.8|-5.1|13.8|3.78|3.78|3.78|3.78|3.78|3.78|22.68|40.018| -105.264|1606|
-6.8|-5.1|13.8|3.78|3.78|3.78|3.78|3.78|3.78|22.68|40.019| -105.262|1608|
-6.8|-5.1|13.8|3.78|3.78|3.78|3.78|3.78|3.78|22.68|40.020| -105.260|1610|
-6.8|-5.1|13.8|3.78|3.78|3.78|3.78|3.78|3.78|22.68|40.021| -105.262|1612|
-6.8|-5.1|13.8|3.78|3.78|3.78|3.78|3.78|3.78|22.68|40.022| -105.264|1614|
-6.8|-5.1|13.8|3.78|3.78|3.78|3.78|3.78|3.78|22.68|40.023| -105.266|1616|
-6.8|-5.1|13.8|3.78|3.78|3.78|3.78|3.78|3.78|22.68|40.024| -105.268|1618|
-6.8|-5.1|13.8|3.78|3.78|3.78|3.78|3.78|3.78|22.68|40.025| -105.270|1620|
-6.8|-5.1|13.8|3.78|3.78|3.78|3.78|3.78|3.78|22.68|40.024| -105.272|1622|
-6.8|-5.1|13.8|3.78|3.78|3.78|3.78|3.78|3.78|22.68|40.023| -105.274|1624|
-6.8|-5.1|13.8|3.78|3.78|3.78|3.78|3.78|3.78|22.68|40.022| -105.276|1626|
-6.8|-5.1|13.8|3.78|3.78|3.78|3.78|3.78|3.78|22.68|40.021| -105.278|1628|
-6.8|-5.1|13.8|3.78|3.78|3.78|3.78|3.78|3.78|22.68|40.020| -105.276|1630|
-6.8|-5.1|13.8|3.78|3.78|3.78|3.78|3.78|3.78|22.68|40.019| -105.274|1632|
-6.8|-5.1|13.8|3.78|3.78|3.78|3.78|3.78|3.78|22.68|40.018| -105.272|1634|
-6.8|-5.1|13.8|3.78|3.78|3.78|3.78|3.78|3.78|22.68|40.017| -105.270|1636|
-6.8|-5.1|13.8|3.78|3.78|3.78|3.78|3.78|3.78|22.68|40.016| -105.262|1638|
-6.8|-5.1|13.8|3.78|3.78|3.78|3.78|3.78|3.78|22.68|40.015| -105.270|1640|
-6.8|-5.1|13.8|3.78|3.78|3.78|3.78|3.78|3.78|22.68|40.016| -105.268|1602|
-6.8|-5.1|13.8|3.78|3.78|3.78|3.78|3.78|3.78|22.68|40.017| -105.266|1604|
-6.8|-5.1|13.8|3.78|3.78|3.78|3.78|3.78|3.78|22.68|40.018| -105.264|1606|
-6.8|-5.1|13.8|3.78|3.78|3.78|3.78|3.78|3.78|22.68|40.019| -105.262|1608|
-6.8|-5.1|13.8|3.78|3.78|3.78|3.78|3.78|3.78|22.68|40.020| -105.260|1610|
-6.8|-5.1|13.8|3.78|3.78|3.78|3.78|3.78|3.78|22.68|40.021| -105.262|1612|
-6.8|-5.1|13.8|3.78|3.78|3.78|3.78|3.78|3.78|22.68|40.022| -105.264|1614|
-6.8|-5.1|13.8|3.78|3.78|3.78|3.78|3.78|3.78|22.68|40.023| -105.266|1616|
-6.8|-5.1|13.8|3.78|3.78|3.78|3.78|3.78|3.78|22.68|40.024| -105.268|1618|
-6.8|-5.1|13.8|3.78|3.78|3.78|3.78|3.78|3.78|22.68|40.025| -105.270|1620|
-6.8|-5.1|13.8|3.78|3.78|3.78|3.78|3.78|3.78|22.68|40.024| -105.272|1622|
-6.8|-5.1|13.8|3.78|3.78|3.78|3.78|3.78|3.78|22.68|40.023| -105.274|1624|
-6.8|-5.1|13.8|3.78|3.78|3.78|3.78|3.78|3.78|22.68|40.022| -105.276|1626|
-6.8|-5.1|13.8|3.78|3.78|3.78|3.78|3.78|3.78|22.68|40.021| -105.278|1628|
-6.8|-5.1|13.8|3.78|3.78|3.78|3.78|3.78|3.78|22.68|40.020| -105.276|1630|
-6.8|-5.1|13.8|3.78|3.78|3.78|3.78|3.78|3.78|22.68|40.019| -105.274|1632|
-6.8|-5.1|13.8|3.78|3.78|3.78|3.78|3.78|3.78|22.68|40.018| -105.272|1634|
-6.8|-5.1|13.8|3.78|3.78|3.78|3.78|3.78|3.78|22.68|40.017| -105.270|1636|
-6.8|-5.1|13.8|3.78|3.78|3.78|3.78|3.78|3.78|22.68|40.016| -105.262|1638|
-6.8|-5.1|13.8|3.78|3.78|3.78|3.78|3.78|3.78|22.68|40.015| -105.270|1640|
